Nume,Calorii,Proteine,Lipide,Carbohidrati
Varza alba,32.2,1.8,0.2,5.8
Varza de bruxelles,25.1,3.4,0.3,2.2
Varza rosie,31.8,1.9,0.2,5.6
Vin Mediu,30.9,0.0,0.1,7.5
Visine,63.7,1.2,0.5,13.6
Weider Giant Mega Mass 4000,550.5,31.5,4.5,96.0
Whisky,168.8,0.0,0.0,42.2
Xylitol,240.0,0.0,0.0,100.0
Zahar,399.6,0.0,0.0,99.9
Zmeura,65.4,1.4,0.6,13.6
Zucchini,17.72,1.21,0.32,2.5
Test,1,2,3,4
